merchant_id,merchant_name,merchant_category,location,risk_score
M_1454,Bet365 #518,GAMING,ONLINE,0.78
M_1455,Boots #626,RETAIL,ONLINE,0.03
M_1456,Trainline #33,TRAVEL,Cardiff,0.33
M_1457,National Express #722,TRAVEL,Cardiff,0.43
M_1458,PokerStars #80,GAMING,ONLINE,0.68
M_1459,British Airways #306,TRAVEL,ONLINE,0.35
M_1460,Coinbase #292,CRYPTO_EXCHANGE,ONLINE,0.91
M_1461,888 Casino #799,GAMING,Liverpool,0.79
M_1462,Bet365 #234,GAMING,ONLINE,0.82
M_1463,EasyJet #53,TRAVEL,ONLINE,0.15
M_1464,Boots #505,RETAIL,ONLINE,0.08
M_1465,Booking.com #407,TRAVEL,ONLINE,0.2
M_1466,EasyJet #392,TRAVEL,Manchester,0.25
M_1467,Bet365 #219,GAMING,Nottingham,0.78
M_1468,PlayStation Network #359,GAMING,ONLINE,0.68
M_1469,Steam #151,GAMING,Coventry,0.65
M_1470,Wayfair #773,E_COMMERCE,ONLINE,0.24
M_1471,Kraken #716,CRYPTO_EXCHANGE,ONLINE,0.71
M_1472,Amazon #604,E_COMMERCE,Coventry,0.26
M_1473,Airbnb #736,TRAVEL,ONLINE,0.27
M_1474,Amazon #224,E_COMMERCE,ONLINE,0.18
M_1475,Binance #372,CRYPTO_EXCHANGE,ONLINE,0.77
M_1476,eBay #740,E_COMMERCE,ONLINE,0.31
M_1477,Binance #471,CRYPTO_EXCHANGE,Birmingham,0.86
M_1478,Wayfair #789,E_COMMERCE,ONLINE,0.14
M_1479,Binance #652,CRYPTO_EXCHANGE,London,0.81
M_1480,Argos #542,RETAIL,Manchester,0.06
M_1481,Bet365 #913,GAMING,Liverpool,0.78
M_1482,National Express #942,TRAVEL,Newcastle,0.41
M_1483,ASDA #983,RETAIL,Birmingham,0.05
M_1484,EasyJet #666,TRAVEL,ONLINE,0.44
M_1485,Crypto.com #537,CRYPTO_EXCHANGE,London,0.72
M_1486,Steam #473,GAMING,Cardiff,0.7
M_1487,Booking.com #108,TRAVEL,Edinburgh,0.3
M_1488,AliExpress #60,E_COMMERCE,ONLINE,0.23
M_1489,Steam #82,GAMING,ONLINE,0.77
M_1490,Argos #249,RETAIL,ONLINE,0.13
M_1491,Coinbase #416,CRYPTO_EXCHANGE,Birmingham,0.77
M_1492,Bet365 #564,GAMING,ONLINE,0.74
M_1493,Wayfair #259,E_COMMERCE,Belfast,0.33
M_1494,Booking.com #34,TRAVEL,ONLINE,0.36
M_1495,eBay #934,E_COMMERCE,ONLINE,0.22
M_1496,Bet365 #928,GAMING,ONLINE,0.8
M_1497,AliExpress #46,E_COMMERCE,Belfast,0.22
M_1498,Wayfair #199,E_COMMERCE,ONLINE,0.12
M_1499,Coinbase #16,CRYPTO_EXCHANGE,ONLINE,0.78
